document_id,document_name,hazard_type,statement_key,threshold_index,total_thresholds,threshold_text,source_authority,lead_time,is_conditional,condition_dependency,activation_type,has_stop_mechanism,forecast_variable,threshold_operator,threshold_value,threshold_unit,probability_value,lead_time_value,timeframe_unit,normalized_source,geographic_scope_type,geographic_scope_label,accumulation_window_value,accumulation_window_unit,persistence_value,persistence_unit,is_observational,referenced_eap_id,within_statement_connector,cross_statement_connector,llm_used,llm_error,original_variable,canonical_variable,subcategory,taxonomy_match_method,taxonomy_match_confidence
16399,Malawi - Pluvial Floods sEAP (MDRMW023),Flood,trigger_statement_2,0,5,"Rainfall forecast of 100 to 150 mm or more within 72 hours in key basins (Shire, Linthipe, Lake Chilwa, etc.)","Department of Climate Change and Meteorological Services (DCCMS), Malawi Red Cross Society (MRCS)",3–5 days for forecast-based triggers; 2–5 days for observational triggers,True,Pre-activation (Tier 1) based on forecast triggers must occur before full activation (Tier 2) based on observational data.,multi-stage,True,Rainfall total,between,100.0,mm,,5.0,days,DCCMS,watershed_basin,"Shire, Linthipe, Lake Chilwa",72.0,hours,,,False,MDRMW023,OR,THEN,azure_openai,,Rainfall total,Precipitation,Rainfall total,llm_disambiguation,1.0
16399,Malawi - Pluvial Floods sEAP (MDRMW023),Flood,trigger_statement_2,1,5,Cyclone forecast predicting 100 mm or more rainfall within 24 hours in flood-prone districts,"Department of Climate Change and Meteorological Services (DCCMS), Malawi Red Cross Society (MRCS)",3–5 days for forecast-based triggers; 2–5 days for observational triggers,True,Pre-activation (Tier 1) based on forecast triggers must occur before full activation (Tier 2) based on observational data.,multi-stage,True,Rainfall total,>=,100.0,mm,,5.0,days,DCCMS,administrative_unit,flood-prone districts,24.0,hours,,,False,MDRMW023,,THEN,azure_openai,,Rainfall total,Precipitation,Rainfall total,llm_disambiguation,1.0
16399,Malawi - Pluvial Floods sEAP (MDRMW023),Flood,trigger_statement_2,2,5,Rainfall forecast combined with exposure analysis showing 30% or more of households at risk,"Department of Climate Change and Meteorological Services (DCCMS), Malawi Red Cross Society (MRCS)",3–5 days for forecast-based triggers; 2–5 days for observational triggers,True,Pre-activation (Tier 1) based on forecast triggers must occur before full activation (Tier 2) based on observational data.,multi-stage,True,Rainfall total,>=,30.0,percent,,5.0,days,DCCMS,national,,,,,,False,MDRMW023,,THEN,azure_openai,,Rainfall total,Precipitation,Rainfall total,llm_disambiguation,0.95
16399,Malawi - Pluvial Floods sEAP (MDRMW023),Flood,trigger_statement_2,3,5,River gauge readings exceed alert stage at two or more stations (real-time),"Department of Climate Change and Meteorological Services (DCCMS), Malawi Red Cross Society (MRCS)",3–5 days for forecast-based triggers; 2–5 days for observational triggers,True,Pre-activation (Tier 1) based on forecast triggers must occur before full activation (Tier 2) based on observational data.,multi-stage,True,,,,,,,,,,,,,,,,,,,azure_openai,"1 validation error for NormalizedThreshold
threshold_value
  Input should be a valid number [type=float_type, input_value=None, input_type=NoneType]
    For further information visit https://errors.pydantic.dev/2.12/v/float_type",,Other,Other,other_fallback,0.0
16399,Malawi - Pluvial Floods sEAP (MDRMW023),Flood,trigger_statement_2,4,5,Inundation modelling projects 30% or more of households affected in flood-risk zones,"Department of Climate Change and Meteorological Services (DCCMS), Malawi Red Cross Society (MRCS)",3–5 days for forecast-based triggers; 2–5 days for observational triggers,True,Pre-activation (Tier 1) based on forecast triggers must occur before full activation (Tier 2) based on observational data.,multi-stage,True,Percent households affected,>=,30.0,%,,5.0,days,DCCMS,regional,flood-risk zones,,,,,True,MDRMW023,,THEN,azure_openai,,Percent households affected,Population Impact,Flood,llm_disambiguation,0.95
16401,Zimbabwe - Cholera sEAP (MDRZW026),Cholera,trigger_statement_1,0,3,Phase 1: A confirmed cholera case in any district of the country,Zimbabwe Red Cross Society (ZRCS) sEAP based on Government of Zimbabwe case and outbreak definitions,,True,Phase 2 activation depends on confirmation of cases in Harare following Phase 1; Phase 3 activation depends on evidence of community transmission in Harare and spread to other districts following Phase 2,multi-stage,False,Confirmed cholera cases,>=,1.0,cases,,0.0,hours,ZRCS,count_threshold,any district of the country,,,,,True,MDRZW026,,THEN,azure_openai,,Confirmed cholera cases,Infectious Disease,Cholera,llm_disambiguation,1.0
16401,Zimbabwe - Cholera sEAP (MDRZW026),Cholera,trigger_statement_1,1,3,Phase 2: A confirmed cholera case in Harare,Zimbabwe Red Cross Society (ZRCS) sEAP based on Government of Zimbabwe case and outbreak definitions,,True,Phase 2 activation depends on confirmation of cases in Harare following Phase 1; Phase 3 activation depends on evidence of community transmission in Harare and spread to other districts following Phase 2,multi-stage,False,Confirmed cholera cases,>=,1.0,cases,,0.0,hours,ZRCS,administrative_unit,Harare,,,,,True,MDRZW026,,THEN,azure_openai,,Confirmed cholera cases,Infectious Disease,Cholera,llm_disambiguation,1.0
16401,Zimbabwe - Cholera sEAP (MDRZW026),Cholera,trigger_statement_1,2,3,Phase 3: Evidence of community transmission in Harare and spread to additional districts,Zimbabwe Red Cross Society (ZRCS) sEAP based on Government of Zimbabwe case and outbreak definitions,,True,Phase 2 activation depends on confirmation of cases in Harare following Phase 1; Phase 3 activation depends on evidence of community transmission in Harare and spread to other districts following Phase 2,multi-stage,False,Confirmed cholera cases,>=,1.0,cases,,0.0,hours,ZRCS,administrative_unit,Harare and additional districts,,,,,True,MDRZW026,AND,THEN,azure_openai,,Confirmed cholera cases,Infectious Disease,Cholera,llm_disambiguation,1.0
16410,Mauritania - Flood sEAP (MDRMR020),Flood,trigger_statement_1,0,4,40% or greater probability that total seasonal precipitation will be above normal (upper tercile),"CEPMMT SEAS5, ECMWF, ONM, SONADER",Pre-season (months ahead) for first trigger; 5 days for second trigger,False,,dual-trigger,False,Seasonal precipitation,>=,66.67,percentile,40.0,5.0,days,ECMWF,national,,,,,,False,MDRMR020,,AND,azure_openai,,Seasonal precipitation,Precipitation,Seasonal total above normal (upper tercile),llm_disambiguation,1.0
16410,Mauritania - Flood sEAP (MDRMR020),Flood,trigger_statement_1,1,4,ECMWF EFI > 0.8 forecast,"CEPMMT SEAS5, ECMWF, ONM, SONADER",Pre-season (months ahead) for first trigger; 5 days for second trigger,False,,dual-trigger,False,ECMWF EFI,>,0.8,index,,5.0,days,ECMWF,national,,,,,,False,MDRMR020,,AND,azure_openai,,ECMWF EFI,Hydrological Flow,Flood,llm_disambiguation,0.9
16410,Mauritania - Flood sEAP (MDRMR020),Flood,trigger_statement_1,2,4,ONM forecast of precipitation exceeding 25 mm over the next 5 days,"CEPMMT SEAS5, ECMWF, ONM, SONADER",Pre-season (months ahead) for first trigger; 5 days for second trigger,False,,dual-trigger,False,Rainfall total,>=,25.0,mm,,5.0,days,ONM,national,,,,,,False,MDRMR020,,AND,azure_openai,,Rainfall total,Precipitation,Rainfall total,llm_disambiguation,1.0
16410,Mauritania - Flood sEAP (MDRMR020),Flood,trigger_statement_1,3,4,Hydrological monitoring bulletins from SONADER,"CEPMMT SEAS5, ECMWF, ONM, SONADER",Pre-season (months ahead) for first trigger; 5 days for second trigger,False,,dual-trigger,False,,,,,,,,,,,,,,,,,,,azure_openai,"2 validation errors for NormalizedThreshold
threshold_value
  Input should be a valid number [type=float_type, input_value=None, input_type=NoneType]
    For further information visit https://errors.pydantic.dev/2.12/v/float_type
threshold_unit
  Input should be a valid string [type=string_type, input_value=None, input_type=NoneType]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type",,Other,Other,other_fallback,0.0
16416,Pakistan - Riverine Floods EAP (MDRPK029),Flood,trigger_statement_1,0,2,Flood flows greater than 2-year return period to 5-year return period with a probability of more than 70% at respective upstream gauging stations,"Global Flood Awareness System (GLOFAS), Pakistan Meteorological Department (PMD)",3 to 10 days depending on river section,False,,multi-stage,False,Flood return period probability,between,2.0,years,70.0,10.0,days,GLOFAS,station_gauge,upstream gauging stations,,,,,False,MDRPK029,,,azure_openai,,Flood return period probability,Hydrological Flow,Flood return period probability,llm_disambiguation,0.95
16416,Pakistan - Riverine Floods EAP (MDRPK029),Flood,trigger_statement_1,1,2,Weekly weather outlooks from PMD for Kabul and Swat River sections,"Global Flood Awareness System (GLOFAS), Pakistan Meteorological Department (PMD)",3 to 10 days depending on river section,False,,multi-stage,False,,,,,,,,,,,,,,,,,,,azure_openai,"3 validation errors for NormalizedThreshold
threshold_operator
  Input should be a valid string [type=string_type, input_value=None, input_type=NoneType]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type
threshold_value
  Input should be a valid number [type=float_type, input_value=None, input_type=NoneType]
    For further information visit https://errors.pydantic.dev/2.12/v/float_type
threshold_unit
  Input should be a valid string [type=string_type, input_value=None, input_type=NoneType]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type",,Other,Other,other_fallback,0.0
16416,Pakistan - Riverine Floods EAP (MDRPK029),Flood,trigger_statement_2,0,2,"Observed flood flows in Kabul River at Nowshera station over 200,000 cusecs","Flood Forecast Division (FFD), Pakistan Irrigation Department (PID)",6 hours,False,,multi-stage,False,River discharge,>,200000.0,cusecs,,6.0,hours,FFD,station_gauge,Nowshera station,,,,,True,MDRPK029,,,azure_openai,,River discharge,Hydrological Flow,River discharge,llm_disambiguation,1.0
16416,Pakistan - Riverine Floods EAP (MDRPK029),Flood,trigger_statement_2,1,2,"Observed flood flows in Swat River at Munda Headworks over 150,000 cusecs","Flood Forecast Division (FFD), Pakistan Irrigation Department (PID)",6 hours,False,,multi-stage,False,River discharge,>,150000.0,cusecs,,6.0,hours,FFD,station_gauge,Munda Headworks,,,,,True,MDRPK029,,,azure_openai,,River discharge,Hydrological Flow,River discharge,llm_disambiguation,1.0
16416,Pakistan - Riverine Floods EAP (MDRPK029),Flood,trigger_statement_3,0,3,"Flood inflows in Indus at Tarbela of 400,000 cusecs or above in next 24 hours",Flood Forecast Division (FFD),48 hours,False,,multi-stage,False,River discharge,>=,400000.0,cusecs,,2.0,days,FFD,station_gauge,Tarbela,24.0,hours,,,False,MDRPK029,,,azure_openai,,River discharge,Hydrological Flow,Flood,llm_disambiguation,1.0
16416,Pakistan - Riverine Floods EAP (MDRPK029),Flood,trigger_statement_3,1,3,"High flood inflows in Indus at Kalabagh of 500,000 cusecs or above in next 24 hours",Flood Forecast Division (FFD),48 hours,False,,multi-stage,False,River discharge,>=,500000.0,cusecs,,2.0,days,FFD,station_gauge,Kalabagh,24.0,hours,,,False,MDRPK029,,,azure_openai,,River discharge,Hydrological Flow,River discharge,llm_disambiguation,1.0
16416,Pakistan - Riverine Floods EAP (MDRPK029),Flood,trigger_statement_3,2,3,"High flood inflows in Indus at Chashma of 550,000 cusecs or above in next 24 hours",Flood Forecast Division (FFD),48 hours,False,,multi-stage,False,River discharge,>=,550000.0,cusecs,,2.0,days,FFD,station_gauge,Chashma,24.0,hours,,,False,MDRPK029,,,azure_openai,,River discharge,Hydrological Flow,River discharge,llm_disambiguation,1.0
16416,Pakistan - Riverine Floods EAP (MDRPK029),Flood,trigger_statement_4,0,2,"Observed outflows in Tarbela above 400,000 cusecs or observed flood outflows of Indus at Kalabagh above 500,000 cusecs or at Chashma above 550,000 cusecs",Flood Forecast Division (FFD),4 days,True,Both observed outflows and forecasted inflows criteria must be met,multi-stage,False,River discharge,>,400000.0,cusecs,,4.0,days,FFD,station_gauge,Tarbela,,,,,True,MDRPK029,OR,THEN,azure_openai,,River discharge,Hydrological Flow,River discharge,llm_disambiguation,1.0
16416,Pakistan - Riverine Floods EAP (MDRPK029),Flood,trigger_statement_4,1,2,"Forecasted high flood inflows above 550,000 cusecs in Indus at Taunsa in next 24 hours",Flood Forecast Division (FFD),4 days,True,Both observed outflows and forecasted inflows criteria must be met,multi-stage,False,River discharge,>,550000.0,cusecs,,4.0,days,FFD,station_gauge,Indus at Taunsa,24.0,hours,,,False,MDRPK029,,THEN,azure_openai,,River discharge,Hydrological Flow,Flood,llm_disambiguation,1.0
16416,Pakistan - Riverine Floods EAP (MDRPK029),Flood,trigger_statement_5,0,2,"Forecasted high flood inflows of Chenab River at Trimmu of 300,000 cusecs or above in next 24 hours",Flood Forecast Division (FFD),24 hours,True,Evacuation only triggered after observed flood outflows exceed threshold,multi-stage,False,River discharge,>=,300000.0,cusecs,,1.0,days,FFD,watershed_basin,Chenab River at Trimmu,,,,,False,MDRPK029,,THEN,azure_openai,,River discharge,Hydrological Flow,River discharge,llm_disambiguation,1.0
16416,Pakistan - Riverine Floods EAP (MDRPK029),Flood,trigger_statement_5,1,2,"Observed flood outflows of Chenab River at Trimmu above 300,000 cusecs",Flood Forecast Division (FFD),24 hours,True,Evacuation only triggered after observed flood outflows exceed threshold,multi-stage,False,River discharge,>,300000.0,cusecs,,1.0,days,FFD,watershed_basin,Chenab River at Trimmu,,,,,True,MDRPK029,,THEN,azure_openai,,River discharge,Hydrological Flow,River discharge,llm_disambiguation,1.0
16416,Pakistan - Riverine Floods EAP (MDRPK029),Flood,trigger_statement_6,0,4,"Forecasted high flood inflows above 550,000 cusecs in Indus at Taunsa in next 24 hours",Flood Forecast Division (FFD),4 days,False,,multi-stage,False,River discharge,>,550000.0,cusecs,,4.0,days,FFD,station_gauge,Indus at Taunsa,24.0,hours,,,False,MDRPK029,,,azure_openai,,River discharge,Hydrological Flow,River discharge,llm_disambiguation,1.0
16416,Pakistan - Riverine Floods EAP (MDRPK029),Flood,trigger_statement_6,1,4,"Forecasted high flood inflows above 300,000 cusecs in Chenab at Trimmu or Punjnad in next 24 hours",Flood Forecast Division (FFD),4 days,False,,multi-stage,False,River discharge,>,300000.0,cusecs,,4.0,days,FFD,station_gauge,Chenab at Trimmu or Punjnad,24.0,hours,,,False,MDRPK029,OR,,azure_openai,,River discharge,Hydrological Flow,Flood,llm_disambiguation,1.0
16416,Pakistan - Riverine Floods EAP (MDRPK029),Flood,trigger_statement_6,2,4,"Observed outflows of Indus River at Taunsa above 550,000 cusecs",Flood Forecast Division (FFD),4 days,False,,multi-stage,False,River discharge,>,550000.0,cusecs,,4.0,days,FFD,station_gauge,Taunsa,,,,,True,MDRPK029,,,azure_openai,,River discharge,Hydrological Flow,River discharge,llm_disambiguation,0.95
16416,Pakistan - Riverine Floods EAP (MDRPK029),Flood,trigger_statement_6,3,4,"Observed outflows of Chenab River at Punjnad above 300,000 cusecs",Flood Forecast Division (FFD),4 days,False,,multi-stage,False,River discharge,>,300000.0,cusecs,,4.0,days,FFD,station_gauge,Chenab River at Punjnad,,,,,True,MDRPK029,,,azure_openai,,River discharge,Hydrological Flow,River discharge,llm_disambiguation,1.0
16416,Pakistan - Riverine Floods EAP (MDRPK029),Flood,trigger_statement_7,0,3,"Observed outflows of Indus River at Taunsa above 550,000 cusecs and Chenab River at Panjnad above 300,000 cusecs",Flood Forecast Division (FFD),3-5 days,False,,multi-stage,False,River discharge,>,300000.0,cusecs,,5.0,days,FFD,station_gauge,Chenab River at Panjnad,,,,,True,MDRPK029,AND,,azure_openai,,River discharge,Hydrological Flow,River discharge,llm_disambiguation,1.0
16416,Pakistan - Riverine Floods EAP (MDRPK029),Flood,trigger_statement_7,1,3,"Forecasted very high flood inflows in Indus River at Guddu or Sukkur of 700,000 cusecs or above in next 24 hours",Flood Forecast Division (FFD),3-5 days,False,,multi-stage,False,River discharge,>=,700000.0,cusecs,,5.0,days,FFD,watershed_basin,Indus River at Guddu or Sukkur,24.0,hours,,,False,MDRPK029,,,azure_openai,,River discharge,Hydrological Flow,River discharge,llm_disambiguation,1.0
16416,Pakistan - Riverine Floods EAP (MDRPK029),Flood,trigger_statement_7,2,3,"Observed high flood flows in Indus River at Kotri of 450,000 cusecs or above for 3 consecutive days or more",Flood Forecast Division (FFD),3-5 days,False,,multi-stage,False,River discharge,>=,450000.0,cusecs,,5.0,days,FFD,watershed_basin,Indus River at Kotri,,,3.0,days,True,MDRPK029,OR,,azure_openai,,River discharge,Hydrological Flow,River discharge,llm_disambiguation,0.95
16440,Madagascar - Floods sEAP (MDRMG024),Flood,trigger_statement_1,0,1,"Cumulative precipitation greater than 150 mm in a week (category ""abundant"" according to DGM classification)",Directorate General of Meteorology (DGM) of Madagascar,3 to 7 days,False,,single-trigger,False,Rainfall total,>,150.0,mm,,7.0,days,DGM,national,,7.0,days,,,False,MDRMG024,,,azure_openai,,Rainfall total,Precipitation,Cumulative precipitation > 150 mm in a week,llm_disambiguation,1.0
16445,Paraguay - Drought sEAP (MDRPY024),Drought,trigger_statement_1,0,1,50% or greater probability that rainfall will remain in the lower tercile (below normal levels) for the December to February quarter,Directorate of Meteorology and Hydrology (DMH),3 months,False,,single-trigger,False,Seasonal precipitation,<=,33.33,percentile,50.0,3.0,months,DMH,national,,,,,,False,MDRPY024,,,azure_openai,,Seasonal precipitation,Precipitation,Seasonal low rainfall probability,llm_disambiguation,0.95
16446,Ethiopia - Cholera sEAP (MDRET038),Cholera,trigger_statement_1,0,3,"Drought affecting 32,000 people in any of the 20 identified woredas as confirmed by monthly EDRMC disaster report",Ethiopian Disaster Risk Management Commission (EDRMC) for drought data; Ethiopian Public Health Institute (EPHI) for cholera case data,3 months for drought trigger; 7 days for cholera case triggers,True,Trigger 2 activation is conditional on prior activation of Trigger 1 in this scenario,dual-trigger,True,Drought impact,>=,32000.0,people,,3.0,months,EDRMC,count_threshold,any of the 20 identified woredas,,,,,True,MDRET038,,AND,azure_openai,,Drought impact,Population Impact,Drought impact affecting population,llm_disambiguation,0.9
16446,Ethiopia - Cholera sEAP (MDRET038),Cholera,trigger_statement_1,1,3,One confirmed cholera case reported by EPHI in a neighboring woreda/district of the 20 identified woredas/districts within the same country or neighboring district of bordering country,Ethiopian Disaster Risk Management Commission (EDRMC) for drought data; Ethiopian Public Health Institute (EPHI) for cholera case data,3 months for drought trigger; 7 days for cholera case triggers,True,Trigger 2 activation is conditional on prior activation of Trigger 1 in this scenario,dual-trigger,True,Confirmed cholera cases,>=,1.0,cases,,7.0,days,EPHI,count_threshold,neighboring woreda/district of the 20 identified woredas/districts,,,,,True,MDRET038,,AND,azure_openai,,Confirmed cholera cases,Infectious Disease,Cholera,llm_disambiguation,1.0
16446,Ethiopia - Cholera sEAP (MDRET038),Cholera,trigger_statement_1,2,3,Five suspected cholera cases qualifying EPHI clinical case definition identified within a week in the 20 selected woredas/districts,Ethiopian Disaster Risk Management Commission (EDRMC) for drought data; Ethiopian Public Health Institute (EPHI) for cholera case data,3 months for drought trigger; 7 days for cholera case triggers,True,Trigger 2 activation is conditional on prior activation of Trigger 1 in this scenario,dual-trigger,True,Confirmed cholera cases,>=,5.0,cases,,7.0,days,EPHI,count_threshold,20 selected woredas/districts,7.0,days,,,True,MDRET038,,AND,azure_openai,,Confirmed cholera cases,Infectious Disease,Cholera Cases,llm_disambiguation,1.0
16446,Ethiopia - Cholera sEAP (MDRET038),Cholera,trigger_statement_2,0,2,One confirmed cholera case reported by EPHI in a neighbouring woreda/district of the 20 identified woredas/districts within the same country or neighboring district of bordering country,Ethiopian Public Health Institute (EPHI),7 days,False,,dual-trigger,True,Confirmed cholera cases,>=,1.0,cases,,7.0,days,EPHI,count_threshold,20 identified woredas/districts,,,,,True,MDRET038,,AND,azure_openai,,Confirmed cholera cases,Infectious Disease,Cholera,llm_disambiguation,1.0
16446,Ethiopia - Cholera sEAP (MDRET038),Cholera,trigger_statement_2,1,2,Five suspected cholera cases qualifying EPHI clinical case definition identified within a week in the 20 selected woredas/districts,Ethiopian Public Health Institute (EPHI),7 days,False,,dual-trigger,True,Confirmed cholera cases,>=,5.0,cases,,7.0,days,EPHI,count_threshold,20 selected woredas/districts,7.0,days,,,True,MDRET038,,AND,azure_openai,,Confirmed cholera cases,Infectious Disease,Cholera cases,llm_disambiguation,1.0
16458,Bangladesh - Cold Wave EAP (MDRBD038),Cold Wave,trigger_statement_1,0,6,Minimum temperature less than or equal to 7°C,Bangladesh Meteorological Department (BMD) and ECMWF,4 days,False,,multi-stage,True,Min temperature,<=,7.0,°C,,4.0,days,BMD,national,,,,,,False,MDRBD038,,,azure_openai,,Min temperature,Temperature,Min temperature,deterministic_alias,1.0
16458,Bangladesh - Cold Wave EAP (MDRBD038),Cold Wave,trigger_statement_1,1,6,Departure from normal temperature equal to or below the 2nd percentile (3 to 4°C),Bangladesh Meteorological Department (BMD) and ECMWF,4 days,False,,multi-stage,True,Seasonal temperature departure,<=,2.0,percentile,,4.0,days,BMD,national,,,,,,False,MDRBD038,,,azure_openai,,Seasonal temperature departure,Temperature,Cold Wave,llm_disambiguation,1.0
16458,Bangladesh - Cold Wave EAP (MDRBD038),Cold Wave,trigger_statement_1,2,6,Maximum temperature less than or equal to 5th percentile (18-20°C),Bangladesh Meteorological Department (BMD) and ECMWF,4 days,False,,multi-stage,True,Maximum temperature,<=,18.0,°C,,4.0,days,BMD,national,,,,,,False,MDRBD038,,,azure_openai,,Maximum temperature,Temperature,Cold Wave,llm_disambiguation,1.0
16458,Bangladesh - Cold Wave EAP (MDRBD038),Cold Wave,trigger_statement_1,3,6,Wind speed exceeding 5th percentile (>5 km/hr),Bangladesh Meteorological Department (BMD) and ECMWF,4 days,False,,multi-stage,True,Wind speed,>,5.0,km/hr,,4.0,days,BMD,national,,,,,,False,MDRBD038,,,azure_openai,,Wind speed,Wind,Wind speed exceeding 5th percentile (>5 km/hr),llm_disambiguation,0.9
16458,Bangladesh - Cold Wave EAP (MDRBD038),Cold Wave,trigger_statement_1,4,6,Conditions sustained for 3 consecutive days,Bangladesh Meteorological Department (BMD) and ECMWF,4 days,False,,multi-stage,True,Condition persistence,>=,3.0,days,,4.0,days,BMD,national,,,,3.0,days,False,MDRBD038,,,azure_openai,,Condition persistence,Alert/Warning Status,Cold Wave Condition Persistence,llm_disambiguation,0.9
16458,Bangladesh - Cold Wave EAP (MDRBD038),Cold Wave,trigger_statement_1,5,6,Affecting three or more districts partially (at least 50% area of each district),Bangladesh Meteorological Department (BMD) and ECMWF,4 days,False,,multi-stage,True,Affected administrative units,>=,3.0,districts,,4.0,days,BMD,count_threshold,at least 3 districts partially (at least 50% area of each district),,,,,False,MDRBD038,,INDEPENDENT,azure_openai,,Affected administrative units,Population Impact,Affected administrative units,llm_disambiguation,0.9
