canonical_variable,subcategory,primary_unit,accumulation_window_applicable,accumulation_window_units,persistence_applicable,persistence_units,probability_applicable,lead_time_applicable,lead_time_units,geographic_scope_required,example_statement,hazard_types,notes,data_source,row_count,source_eap_count
Population Impact,Mortality,%,no,,no,,no,yes,days,optional,Category 3 – 30% or higher excess mortality (ranging upwards as high as 45% to 65% excess daily mortality),heatwave,,auto_inferred,0,0
Population Impact,Mortality excess,%,no,,no,,no,yes,days,optional,Trigger threshold: Category 3 with predicted excess mortality of 45% or higher,heatwave,,auto_inferred,0,0
Precipitation,Extreme precipitation index (EFI),index,no,,no,,optional,optional,hours|days|weeks,optional,Trigger if EFI exceeds 1.5 for the 7-day period forecast.,flood|other,"EFI is a standardized index with fixed climatological period, no accumulation window applies.",llm_proposed,0,0
Precipitation,Rainfall anomaly / departure from normal,mm|cm|inches|percent,yes,days|weeks|months,no,,optional,optional,hours|days|weeks|months,optional,Trigger if rainfall anomaly exceeds +30% over the past 30 days.,flood|drought|other,Anomaly can be expressed as absolute or percent departure from normal rainfall.,llm_proposed,0,0
Precipitation,Seasonal total,%|counties|days|event|mm|months|percentile|tercile|years,no,,yes,days,yes,yes,days|months|weeks,optional,"If first trigger not activated, activation requires IBF model detection of drought by April and official drought declaration by Government of Zimbabwe",cold wave|drought|flood|heatwave,"Seasonal total is a fixed climatological period, so accumulation_window_applicable set to no",auto_inferred,0,0
Precipitation,Standardised Precipitation Index (SPI),index,no,,no,,optional,optional,weeks|months,optional,Trigger if SPI for 3 months is below -1.5 indicating drought conditions.,drought|other,"SPI uses fixed climatological periods, accumulation window does not apply.",llm_proposed,0,0
Precipitation,Total rainfall,%|days|mm|mm/day|percentile|regions,yes,days|hours|weeks,yes,days,optional,optional,days|months|weeks,optional,"Numerical weather prediction (NWP) or special weather advisories predict extreme and widespread rainfall for next three days across Babai and West Rapti basin areas and districts, provided rivers are flowing at stage level less than 2m below existing danger level",cholera|dengue|drought|extreme rainfall|flood|storm,,auto_inferred,0,0
Temperature,Cold wave event,event|%,no,,yes,days,optional,optional,days,optional,Cold wave forecast with a lead time of 4 days (event); or 72-hour confirmation with at least 75% probability of cold wave occurrence (%).,cold_wave,Merged: Cold Wave + Cold wave event. Unit 'event' = binary cold wave occurrence; '%' = probability threshold.,consolidated,0,0
Temperature,Heat index,percentile|°C,no,,yes,days,optional,optional,days,optional,Heat Index corresponds to more than 90th percentile values for summer months (March-May),heatwave,,auto_inferred,0,0
Temperature,Heatwave,days,no,,yes,days,optional,optional,days,optional,Forecast lead time maximum 5 days including 3 days heatwave duration,heatwave,,auto_inferred,0,0
Temperature,Heatwave intensity,event,no,,yes,days,optional,optional,days,optional,Forecast Criteria: DHM issues a red alert heatwave bulletin ('take action') for the next 3 days in the target city or its associated district,heatwave,,auto_inferred,0,0
Temperature,Heatwave occurrence,event|%,no,,yes,days,optional,yes,days,optional,72-hour forecast of heatwave occurrence (event); or probability of heatwave occurrence exceeds threshold (%).,heatwave,Merged: Heatwave occurrence (event) + Heatwave occurrence probability (%). Unit 'event' = binary confirmation; '%' = probability threshold.,consolidated,0,0
Temperature,Max daily temperature,percentile|°C,no,,yes,days,optional,yes,days,optional,Daily maximum temperature above the 99th percentile threshold; or max day temperature 2°C or less for cold wave; or above 95th percentile of monthly historical maximum temperature.,cold_wave|heatwave,Merged: Max daily temp + Max daily temperature + Max temperature + Daytime temperature. All refer to daily maximum temperature as the trigger variable.,consolidated,0,0
Temperature,Min temperature,percentile|°C,no,,yes,days,optional,yes,days,optional,7-day temperature forecast minimum below -40°C (-35°C in Karaganda region) with precipitation and increased wind speed persisting for at least two days in any district,cold_wave|heatwave,Merged: Min temperature + General temperature. Regional min temp thresholds (General temperature) are a subtype of Min temperature.,consolidated,0,0
Temperature,Temperature anomaly / departure from normal,C|F|percent,no,,no,,optional,optional,hours|days|weeks|months,optional,Trigger if temperature anomaly exceeds +2°C for the month.,heatwave|cold_wave|other,"Anomaly is departure from climatological normal, no accumulation window applies.",llm_proposed,0,0
Temperature,Wind chill index,C|F,no,,yes,hours|days,optional,optional,hours|days,optional,Trigger if wind chill index remains below -10°C for 6 consecutive hours.,cold_wave|other,Wind chill index requires persistence to define cold wave conditions.,llm_proposed,0,0
Volcanic Activity,Seismic / monitoring parameters,index|level|count|ppm,no,,no,,no,no,,always,"Significant increase in internal volcanic activity parameters such as seismicity, gas emissions, ground deformation — trigger when monitoring authority declares significant anomaly.",volcanic ash,"Observational subcategory: real-time monitoring data (seismicity counts, CO2/SO2 ppm, ground deformation). No forecast probability or lead time — geographic scope always required (named volcano/station).",auto_inferred,0,0
Volcanic Activity,Ash deposition,mm,no,,no,,no,no,,optional,Eruptive event with explosive index VEI 3 and ash fall exceeding 2 mm as per ASH3D model (Special Report C),volcanic ash,,auto_inferred,0,0
Volcanic Activity,Volcanic alert level,level,no,,no,,no,yes,days,always,"Level 2 (orange alert) bulletin received four days before impact, triggered by anomalies such as second-level seismic crisis, second-level micro-deformation of the ground, and changes in gas composition (carbon dioxide accumulation) persisting for several hours a day.",volcanic ash,"Alert level issued by the national volcanic monitoring authority (e.g. Level 1/2/3 or green/orange/red). Lead time applies — bulletin is issued days before expected impact. Geographic scope always required (named volcano). This subcategory tracks the official alert code, not ash deposition volume.",auto_inferred,1,1
Wind,Speed,%|Signal level|category|km/h|km/hr|knots|signal level,no,,yes,hours|days,optional,optional,days|hours,optional,"At least two models among BMD, IMD, ECMWF, GFS, JTWC forecast wind speeds of 125 km/h or greater in coastal districts of Bangladesh with a lead time of 72 hours or more",cold wave|extreme rainfall|flood|storm|wildfire,persistence_applicable set to yes due to sustained winds rule; probability and lead_time set to optional for forecast-based subcategory,auto_inferred,0,0
Wind,Speed category,category,no,,yes,hours|days,optional,yes,days,optional,Category 4 or 5 cyclone within 250 km of Fiji,storm,persistence_applicable set to yes due to sustained winds rule; probability and lead_time set to optional/yes for forecast-based subcategory,auto_inferred,0,0
Agricultural Impact,Drought severity,counties|districts|%|index,no,,no,,optional,optional,weeks|months,always,Threshold exceeded in at least 3 of the 23 ASAL counties based on drought monitoring indicators.,drought,Drought severity expressed as geographic coverage — number of admin units meeting drought threshold. Count_threshold geographic scope type applies.,manual_fix,1,1
Agricultural Impact,Food insecurity projection,index|IPC phase|score,no,,no,,no,optional,weeks|months,optional,FEWSNET food insecurity projection at least 0.7 in derived population-weighted index in the same district.,drought,Food insecurity composite index from FEWSNET IPC analysis. Index value is the threshold; no forecast probability — model output only.,manual_fix,1,1
Alert/Warning Status,Cold Wave Condition Persistence,days|hours,no,,yes,days,no,no,,optional,Cold wave conditions sustained for 3 consecutive days trigger activation.,cold_wave,Duration-based trigger: persistence of cold wave conditions as number of consecutive days. Distinct from temperature value threshold.,manual_fix,1,1
Population Impact,Damage likelihood,%|percent,no,,no,,yes,optional,days,optional,"80% likelihood of complete damage to more than 50,000 houses.",cyclone|storm,Probability-of-damage threshold expressed as percentage likelihood; house count is in threshold_value field.,manual_fix,1,1
Population Impact,Damage to houses,%|count|houses,no,,no,,yes,optional,days,optional,"60% likelihood of complete damage to more than 160,000 houses based on typhoon wind model.",cyclone|storm,Physical structure damage threshold expressed as probability of exceedance; house count is in threshold_value field.,manual_fix,1,1
Precipitation,Rainfall intensity,mm/hr|mm/day|mm,yes,hours|days,no,,optional,optional,hours|days,optional,Red warning (alert) issued when rainfall intensity exceeds 20 mm/hr or daily total exceeds 100 mm.,flood|extreme rainfall,Rainfall intensity measures rate (mm/hr) distinct from total accumulation. Accumulation window captures the measurement period.,manual_fix,1,1
